CITY_CD,CITY_NM,Company,MICE,Korea_Tourist,Shopping_Mall,Subway,Total
11010,종로구,7,0,3,0,14,24
11020,중구,9,0,0,3,26,38
11030,용산구,3,0,2,1,17,23
11040,성동구,0,0,1,0,19,20
11050,광진구,1,0,0,1,11,13
11060,동대문구,0,0,0,1,11,12
11070,중랑구,0,0,0,0,13,13
11080,성북구,0,0,0,1,14,15
11090,강북구,0,0,0,1,11,12
11100,도봉구,0,0,0,0,7,7
11110,노원구,0,0,0,1,14,15
11120,은평구,0,0,0,0,15,15
11130,서대문구,1,0,0,1,9,11
11140,마포구,3,0,1,0,22,26
11150,양천구,0,0,0,1,8,9
11160,강서구,6,0,0,1,21,28
11170,구로구,2,0,0,0,13,15
11180,금천구,0,0,0,2,4,6
11190,영등포구,4,0,1,5,23,33
11200,동작구,0,0,0,0,18,18
11210,관악구,0,0,0,1,10,11
11220,서초구,8,0,0,1,20,29
11230,강남구,6,1,0,7,37,51
11240,송파구,2,0,1,2,30,35
11250,강동구,0,0,0,1,14,15
23010,중구,1,0,1,0,9,11
23020,동구,0,0,0,0,1,1
23040,연수구,3,2,1,1,15,22
23050,남동구,0,0,0,0,17,17
23060,부평구,0,0,0,0,16,16
23070,계양구,0,0,0,0,8,8
23080,서구,1,0,0,0,23,24
23090,미추홀구,0,0,0,1,9,10
23510,강화군,0,0,1,0,0,1
23520,옹진군,0,0,0,0,0,0
31010,수원시,2,2,1,6,15,26
31020,성남시,13,0,0,3,24,40
31030,의정부시,0,0,0,1,21,22
31040,안양시,2,0,0,1,7,10
31050,부천시,1,0,0,2,21,24
31060,광명시,0,0,1,1,3,5
31070,평택시,1,0,0,1,5,7
31080,동두천시,0,0,0,0,5,5
31090,안산시,0,0,0,1,14,15
31100,고양시,0,2,0,5,23,30
31110,과천시,1,0,1,0,5,7
31120,구리시,0,0,0,2,5,7
31130,남양주시,0,0,0,1,18,19
31140,오산시,0,0,0,0,4,4
31150,시흥시,0,0,0,1,9,10
31160,군포시,0,0,0,0,7,7
31170,의왕시,0,0,0,1,1,2
31180,하남시,0,0,0,2,4,6
31190,용인시,1,0,2,2,26,31
31200,파주시,0,0,2,2,10,14
31210,이천시,1,0,0,1,3,5
31220,안성시,0,0,0,1,0,1
31230,김포시,0,0,0,1,9,10
31240,화성시,1,0,1,1,4,7
31250,광주시,1,0,0,0,4,5
31260,양주시,0,0,0,0,3,3
31270,포천시,0,0,0,0,0,0
31280,여주시,0,0,0,1,2,3
31550,연천군,0,0,0,0,3,3
31570,가평군,0,0,1,0,4,5
31580,양평군,0,0,1,0,9,10
34010,천안시,0,0,0,2,5,7
